Sloan Digital Sky Survey filter set for DIAFI,,,,,
,,,,,
Lambda,u',g',r',I',z'
929.0,0.007325,0.003152,0.003647,0.003033,95.761696
928.5,0.006808,0.003076,0.004426,0.003185,95.755508
928.0,0.007037,0.003129,0.003857,0.002952,95.761765
927.5,0.007004,0.003686,0.003780,0.003348,95.765999
927.0,0.006862,0.002925,0.003580,0.003195,95.765450
926.5,0.007380,0.003548,0.004404,0.003635,95.777779
926.0,0.006197,0.003196,0.003641,0.003404,95.767380
925.5,0.007158,0.003179,0.003510,0.003138,95.763557
925.0,0.007307,0.003250,0.004002,0.003741,95.760338
924.5,0.007047,0.003612,0.003597,0.002950,95.755699
924.0,0.006983,0.003576,0.004328,0.003064,95.754692
923.5,0.007118,0.003036,0.003849,0.003458,95.755318
923.0,0.007278,0.003197,0.003565,0.002873,95.758804
922.5,0.007086,0.003531,0.004663,0.003732,95.757584
922.0,0.007575,0.003265,0.003702,0.003408,95.769157
921.5,0.007103,0.003180,0.004042,0.004103,95.785286
921.0,0.006960,0.003283,0.004505,0.004211,95.770775
920.5,0.007755,0.002715,0.003916,0.003459,95.771339
920.0,0.006824,0.003517,0.004249,0.003791,95.773933
919.5,0.006823,0.003626,0.003858,0.003614,95.767586
919.0,0.006665,0.003690,0.004563,0.003354,95.766541
918.5,0.006361,0.003460,0.003816,0.003615,95.766060
918.0,0.006704,0.003158,0.004250,0.003909,95.768127
917.5,0.006925,0.003744,0.003930,0.003125,95.772812
917.0,0.006766,0.003179,0.004305,0.003619,95.774918
916.5,0.006456,0.003561,0.003962,0.003880,95.784454
916.0,0.006749,0.003156,0.003976,0.003330,95.788574
915.5,0.006541,0.003239,0.003873,0.003210,95.791344
915.0,0.006405,0.003229,0.003945,0.003621,95.787804
914.5,0.006379,0.003494,0.004205,0.003963,95.785797
914.0,0.006067,0.003132,0.003996,0.003952,95.779495
913.5,0.006391,0.003313,0.003823,0.003672,95.781189
913.0,0.006106,0.003101,0.004004,0.004026,95.775505
912.5,0.006514,0.003199,0.003960,0.003548,95.774292
912.0,0.006068,0.002884,0.004137,0.003888,95.779762
911.5,0.005766,0.003151,0.003848,0.003126,95.779327
911.0,0.006270,0.003118,0.004167,0.003691,95.784729
910.5,0.005877,0.003288,0.004506,0.003993,95.779533
910.0,0.006200,0.003504,0.003965,0.004254,95.785919
909.5,0.006325,0.003256,0.003939,0.004366,95.786751
909.0,0.006034,0.003946,0.004087,0.003725,95.782539
908.5,0.005926,0.003175,0.004459,0.004144,95.784866
908.0,0.006316,0.003917,0.004401,0.003923,95.784477
907.5,0.006326,0.003332,0.004078,0.004405,95.782822
907.0,0.006258,0.003884,0.004625,0.003735,95.783707
906.5,0.006219,0.003425,0.004658,0.004037,95.788071
906.0,0.006151,0.003143,0.004224,0.004120,95.789375
905.5,0.006420,0.003630,0.004135,0.003588,95.786308
