813,4.68E-06
814,4.45E-06
815,4.36E-06
816,4.22E-06
817,4.00E-06
818,3.84E-06
819,3.86E-06
820,3.82E-06
821,3.74E-06
822,3.60E-06
823,3.57E-06
824,3.45E-06
825,3.41E-06
826,3.24E-06
827,3.20E-06
828,3.12E-06
829,3.10E-06
830,3.04E-06
831,2.93E-06
832,2.87E-06
833,2.84E-06
834,2.79E-06
835,2.69E-06
836,2.63E-06
837,2.53E-06
838,2.48E-06
839,2.37E-06
840,2.41E-06
841,2.33E-06
842,2.27E-06
843,2.12E-06
844,2.23E-06
845,2.09E-06
846,2.13E-06
847,2.01E-06
848,2.01E-06
849,2.07E-06
850,1.94E-06
851,1.86E-06
852,1.79E-06
853,1.85E-06
854,1.77E-06
855,1.73E-06
856,1.68E-06
857,1.69E-06
858,1.75E-06
859,1.68E-06
860,1.58E-06
861,1.56E-06
862,1.57E-06
863,1.59E-06
864,1.51E-06
865,1.49E-06
866,1.51E-06
867,1.37E-06
868,1.35E-06
869,1.36E-06
870,1.32E-06
871,1.31E-06
872,1.20E-06
873,1.20E-06
874,1.15E-06
875,1.24E-06
876,1.18E-06
877,1.18E-06
878,1.14E-06
879,1.14E-06
880,1.19E-06
881,1.16E-06
882,1.14E-06
883,1.13E-06
884,1.13E-06
885,1.09E-06
886,1.11E-06
887,1.12E-06
888,1.03E-06
889,1.06E-06
890,1.10E-06
891,1.16E-06
892,1.04E-06
893,1.09E-06
894,1.13E-06
895,1.15E-06
896,1.19E-06
897,1.36E-06
898,1.32E-06
899,1.28E-06
900,1.44E-06
901,1.37E-06
902,1.44E-06
903,1.42E-06
904,1.37E-06
905,1.65E-06
906,1.72E-06
907,1.75E-06
908,2.15E-06
909,2.32E-06
910,2.11E-06
911,2.47E-06
912,2.51E-06
913,2.40E-06
914,3.09E-06
915,3.20E-06
916,3.69E-06
917,3.35E-06
918,4.01E-06
919,4.73E-06
920,5.86E-06
921,6.21E-06
922,5.80E-06
923,7.46E-06
924,8.22E-06
925,9.12E-06
926,9.41E-06
927,1.34E-05
928,1.15E-05
929,1.19E-05
930,1.80E-05
